year,month,title,description,pubDate
2003,1,"억울하게 죽은 넋, 술과 떡으로 달래고...서울 한복판서 벌어진 '계미년...","소축제인 것이다. 자, 이제 모든 이들의 어머니라는 수식어가 붙어다니는 김매물 만신에 대해서도 간단한 소개를 곁들인다. 올해로 일흔 여섯이신 김매물 만신은 인천 신기촌에서 거의 사십년 동안 굿을 비롯한 무속의 길을 걸어오신 분이다. @ADTOP6@ ▲ 새해맞이굿-굿 한거리가 끝난 후의 김매물 만신의 땀에...",2003-01-03 00:00:00
2003,1,<전국 주요신문 톱뉴스>(1월4일자 조간),"주장 ▲인천일보(인천) = `범시민 축제위' 이달 중순 출범 ▲대전매일(대전) = 장기지구 배산임수 명당 ▲대전일보(대전) = 북, 미에 무조건 대화 제의 ▲중도일보(대전) = 새 정부 공직인사 다면평가제 도입 ▲충청매일(대전) = 대전문화 `마당은 넓은데 놀 거리 부족' ▲경상일보(울산) = 군부대 6월부터 단계적 이전...",2003-01-04 00:00:00
2003,1,[관광단신] 나스항공 / 한화투어몰 등,"인천공항세, 대만공항세 및 관광진흥기금, 대만비자발급비 불포함. 1인당 요금은 각각 599,000원, 699,000원. ☎02-777-7708 ◇한화투어몰, 대관령눈꽃 여행 한화투어몰(www.tourmall.com)의 '여자만의 세상나들이'에서는 1월 여행으로 대관령 눈꽃 축제장을 찾아 떠난다. 용평리조트를 중심으로 펼쳐지는 눈꽃...",2003-01-05 00:00:00
2003,1,[레포츠]손맛 입맛 만끽 “겨울이 맛있다” …빙어낚시,"빙어낚시 자체를 즐기려면 사람이 많은 빙어축제 기간보다는 축제전후에 찾는 것이 좋다. 소양호 이외에도 인근 춘천호 의암호 파로호 등도 모두 빙어낚시의 묘미를 맛볼 수 있다. 이밖에 강원 양양 포매호, 경기 철원군 금연지, 인천 강화의 분오리지, 충북 음성의 맹동지와 제천 의림지는 물론 전남 장성댐과...",2003-01-07 00:00:00
2003,1,[크리스천 플라자] 김장환 목사(극동방송 사장) 外,감독(인천여자신학원장·숭의교회)을 강사로 초청해 전 성도의 신앙 성숙을 위한 신춘축복성회를 개최한다. ▲박정근 목사(부산 영안침례교회)=13∼14일 부산 서지방회교회학교연합회가 주관해 괴정 모리아성결교회에서 열리는 2003년 교사영적각성부흥축제에 강사로 참석해 말씀을 인도한다. ▲최바울...,2003-01-08 00:00:00
2003,1,[여행] Life&Culture 퀴즈대행진,■1월 둘째주 문제■ 겨울철 강원도 대관령 등지에서 눈조각ㆍ썰매타기 등으로 흰눈을 즐 기는 축제의 명칭은? ①섬문화축제 ②벚꽃축제... 황인애(인천시 계양구 병방동) ◇4등(에버랜드ㆍ롯데월드 자유이용권 2장)＝오용숙(대구시 동구 신 암3동) 고영승(광주시 북구 두암1동) 이주현(강원도 춘천시...,2003-01-09 00:00:00
2003,1,[호텔] 레저소식,"인천공항에서 오전 11시 35분 출국하며, 돌아오는 시간은 오전 8시 2 0분. 사막성 기후 덕에 평지에서는 겨울에도 초봄날씨를 유지하는 타 슈켄트는 6박7일짜리 상품이다. 15ㆍ22ㆍ29일 출발하며 165만원. 4일 동안 무제한 라운딩이 가능하다 . (02)2112－2717 ■대관령눈꽃축제 상품■ 우리여행사(www....",2003-01-09 00:00:00
2003,1,[캐나다 겨울축제] 나도 동화속 거닐래!,"또 세계에서 가장 긴 스케이트장인 ‘리도 운하’에서 웅장한 위용을 드러내는 국회의사당을 뒤로한 채 가족과 연인과 스케이트를 즐길 수 있는 것은 이 축제의 큰 매력중 하나다. ▲여행정보=에어캐나다는 매일 인천-토론토-퀘벡, 인천-밴쿠버-퀘벡노선을 운항한다. 또 에어캐나다의 ‘에어캐나다...",2003-01-09 00:00:00
2003,1,[표] 종합캘린더,"3700원) ■부동산 ◇인천3차 동시분양 당첨자 발표 ◇부천시 원종동 세창리베하우스 당첨자 계약(20일까지) (02)3663-67 80 ■쇼핑 ◇롯데백화점... 대축제＝2003.1.31까지, www.shinhan.com ■정치ㆍ외교 ◇'국민의정부' 5년 정책평가보고회(오전 10시 30분, 청와대) ■경제ㆍ산업 ◇산자부, 조찬강연...",2003-01-12 00:00:00
2003,1,[새해 단체장에게 듣는다] 조해녕 대구시장…“U대회 성공개최에 역량 ...,“올해는 전 세계 젊은이들의 한마음 축제인 유니버시아드대회 개최에 우리 시의 모든 역량을 다 쏟아 부어 성공적인 대회가 되도록 노력할 것입니다”... 이와함께 대구국제공항의 기반시설을 확충하고 도쿄노선의 조기 취항과 방콕에 이어 베이징 노선을 정기 노선화하는 한편 대구∼인천간 노선도 개설한다....,2003-01-12 00:00:00
2003,2,호텔면세점 정기세일,"롯데면세점은 10∼70% 할인 폭을 제공하며 서울점과 월드점, 인천공항점 등에서 동시에 정기세일을 실시한다. 베르사체, 미쏘니, 에트로, 막스마라 등의 유명 브랜드를 저렴한 가격에 구입할 수 있다. 특히 월드점에서는 단독으로 ‘더블 찬스 100% 경품 당첨 대축제’를 오는 3월31일까지 실시, 롯데호텔...",2003-02-07 00:00:00
2003,2,[표][종합캘린더] 2월 10일 ~ 2월 16일,수요일> ---------------------------------------------------------------- --- ■부동산■ ◇인천 1차 동시분양 입주자 모집공고 ◇광주 탄벌 우림 루미아트... 대축제 (02)411-2500 ◇LG백화점 구리점 진캐주얼 폴로진 고객 초대전 (031)550-7114 ◇갤러리아백화점 압구정점 대보름 상품전 (02)3449-4114 ■행사...,2003-02-09 00:00:00
2003,2,[TOUR 월드] 인도네시아 발리 / 태고의 자연과 힌두사원...,"그림 같은 해변과 독특한 건축양식, 화려한 발리 댄스와 전 통음악 그리고 흥미진진한 축제 등에 이르기까지 다채로운 볼거리를 거리 곳곳에서 쉽게 접할... ◇항공편＝인도네시아 가루다항공이 인천 ~ 발리간 매주 월, 금요일 주2회 직항 운항해 편리하다. 대한항공이나 아시아나항공은 자카르타...",2003-02-09 00:00:00
2003,2,“여성운동에 목말랐다…늘”,그러다 여성의전화 인천지부 창립 소식을 듣고 본격적인 여성운동의 길에 들어서게 된 거죠.” 여성의전화는 올해 창립 20주년을 맞았다. 그의 부담도... 예컨대 강릉지부에서 소규모로 열어 온 ‘허난설헌 축제’를 한바탕 크게 벌여 여성주의 글쓰기 대회를 통해 긍정적인 여성상에 대해 생각해보고 여성들끼리...,2003-02-10 00:00:00
